GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Lottoland Challenge,com.batyuta.challenge.lottoland.enums,StatusEnum,3,53,0,4,1,14,1,7,1,4
Lottoland Challenge,com.batyuta.challenge.lottoland.enums,SignEnum,4,35,0,0,1,8,1,3,1,3
Lottoland Challenge,com.batyuta.challenge.lottoland.enums,I18n,20,21,0,0,5,7,0,2,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.enums,SignEnum.new SignEnum() {...},4,22,1,5,1,7,1,5,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.enums,SignEnum.new SignEnum() {...},4,22,1,5,1,7,1,5,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.enums,SignEnum.new SignEnum() {...},4,22,1,5,1,7,1,5,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.vo,BaseVO,14,0,0,0,6,0,3,0,3,0
Lottoland Challenge,com.batyuta.challenge.lottoland.vo,ErrorBody,178,25,32,2,7,9,27,3,10,3
Lottoland Challenge,com.batyuta.challenge.lottoland.vo,UserVO,23,0,0,0,5,0,3,0,3,0
Lottoland Challenge,com.batyuta.challenge.lottoland.vo,RoundVO,56,0,0,0,11,0,6,0,6,0
Lottoland Challenge,com.batyuta.challenge.lottoland.vo,RestResponse,218,27,36,0,9,9,29,3,11,3
Lottoland Challenge,com.batyuta.challenge.lottoland.vo,LogEntryData,268,103,60,8,5,19,40,9,7,8
Lottoland Challenge,com.batyuta.challenge.lottoland.vo,StatisticsVO,54,0,0,0,11,0,6,0,6,0
Lottoland Challenge,com.batyuta.challenge.lottoland.service,AbstractEntityService,64,6,0,0,13,3,8,1,8,1
Lottoland Challenge,com.batyuta.challenge.lottoland.service,MessageResolverService,33,6,2,0,9,3,2,1,1,1
Lottoland Challenge,com.batyuta.challenge.lottoland.service,RoundEntityService,88,12,2,0,18,4,11,2,10,2
Lottoland Challenge,com.batyuta.challenge.lottoland.service,RoundLightweightService,39,3,4,0,16,1,4,1,2,1
Lottoland Challenge,com.batyuta.challenge.lottoland.service,LightweightService,33,0,0,0,13,0,2,0,2,0
Lottoland Challenge,com.batyuta.challenge.lottoland.service,UserLightweightService,25,3,4,0,6,1,4,1,2,1
Lottoland Challenge,com.batyuta.challenge.lottoland.service,UserEntityService,29,7,2,0,9,3,3,1,2,1
Lottoland Challenge,com.batyuta.challenge.lottoland.repository,PropertyValueUtilsBean,22,7,0,0,5,3,1,1,1,1
Lottoland Challenge,com.batyuta.challenge.lottoland.repository,BaseEntityRepository,208,147,8,10,50,33,27,20,22,16
Lottoland Challenge,com.batyuta.challenge.lottoland.repository,UserEntityRepository,42,3,2,0,8,1,6,1,5,1
Lottoland Challenge,com.batyuta.challenge.lottoland.repository,RoundEntityRepository,12,141,2,14,3,34,3,19,1,13
Lottoland Challenge,com.batyuta.challenge.lottoland.repository,SortComparator,57,30,10,3,18,10,9,3,2,3
Lottoland Challenge,com.batyuta.challenge.lottoland.repository,BaseDataEntityRepository,16,76,2,2,5,20,4,7,2,7
Lottoland Challenge,com.batyuta.challenge.lottoland.web,RestMessageController,14,6,2,0,4,3,2,1,1,1
Lottoland Challenge,com.batyuta.challenge.lottoland.web,RestAbstractController,201,9,16,0,55,4,18,1,10,1
Lottoland Challenge,com.batyuta.challenge.lottoland.web,RestErrorController,25,45,4,4,6,13,4,3,0,3
Lottoland Challenge,com.batyuta.challenge.lottoland.web,RestExceptionHandler,48,10,0,0,13,5,4,1,4,1
Lottoland Challenge,com.batyuta.challenge.lottoland.web,RestRoundController,85,8,2,0,18,3,5,1,4,1
Lottoland Challenge,com.batyuta.challenge.lottoland.web,RestResponseAdvise,47,3,10,0,14,1,7,1,2,1
Lottoland Challenge,com.batyuta.challenge.lottoland.web,RestUserController,0,5,0,0,0,2,0,1,0,1
Lottoland Challenge,com.batyuta.challenge.lottoland.web,HomeController,0,5,0,0,0,2,0,2,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.config,LocaleConfiguration,0,18,0,0,0,6,0,2,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.config,ExposedResourceMessageBundleSource,5,3,0,0,1,1,1,1,1,1
Lottoland Challenge,com.batyuta.challenge.lottoland.config,ServletInitializer,12,0,0,0,2,0,2,0,2,0
Lottoland Challenge,com.batyuta.challenge.lottoland.config,SortComparatorFactory,0,8,0,0,0,2,0,2,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.config,WebMvcEndpointHandler,6,64,4,2,1,17,3,3,0,3
Lottoland Challenge,com.batyuta.challenge.lottoland.config,SecurityConfig,0,32,0,0,0,16,0,3,0,3
Lottoland Challenge,com.batyuta.challenge.lottoland.converter,UserConverter,8,6,0,0,3,3,1,1,1,1
Lottoland Challenge,com.batyuta.challenge.lottoland.converter,HttpStatusSerializer,23,0,0,0,9,0,2,0,2,0
Lottoland Challenge,com.batyuta.challenge.lottoland.converter,SortConverter,34,3,4,0,9,1,3,1,1,1
Lottoland Challenge,com.batyuta.challenge.lottoland.concurrency,LockedData,15,52,4,2,3,15,3,5,0,5
Lottoland Challenge,com.batyuta.challenge.lottoland.model,RoundEntity,0,115,0,0,0,25,0,13,0,13
Lottoland Challenge,com.batyuta.challenge.lottoland.model,NamedEntity,0,10,0,0,0,4,0,2,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.model,BaseEntity,0,42,0,2,0,9,0,8,0,7
Lottoland Challenge,com.batyuta.challenge.lottoland.model,UserEntity,23,11,0,0,9,4,3,2,3,2
Lottoland Challenge,com.batyuta.challenge.lottoland.exception,ApplicationException,12,0,0,0,4,0,2,0,2,0
Lottoland Challenge,com.batyuta.challenge.lottoland.exception,BaseException,3,24,0,2,1,8,1,3,1,2
Lottoland Challenge,com.batyuta.challenge.lottoland.exception,DataException,0,12,0,0,0,4,0,2,0,2
Lottoland Challenge,com.batyuta.challenge.lottoland.aspect,LogEntryAspect,82,90,14,5,29,33,13,6,2,6
Lottoland Challenge,com.batyuta.challenge.lottoland.utils,PageableUtils,13,9,6,2,3,4,4,1,0,1
