GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-server,com.batyuta.challenge.lottoland.enums,StatusEnum,0,56,0,4,0,15,0,8,0,5
spring-boot-server,com.batyuta.challenge.lottoland.enums,SignEnum,4,35,0,0,1,8,1,3,1,3
spring-boot-server,com.batyuta.challenge.lottoland.enums,I18n,21,20,0,0,4,6,0,2,0,2
spring-boot-server,com.batyuta.challenge.lottoland.enums,SignEnum.new SignEnum() {...},4,22,1,5,1,7,1,5,0,2
spring-boot-server,com.batyuta.challenge.lottoland.enums,SignEnum.new SignEnum() {...},4,22,1,5,1,7,1,5,0,2
spring-boot-server,com.batyuta.challenge.lottoland.enums,SignEnum.new SignEnum() {...},4,22,1,5,1,7,1,5,0,2
spring-boot-server,com.batyuta.challenge.lottoland.vo,BaseVO,5,9,0,0,2,4,1,2,1,2
spring-boot-server,com.batyuta.challenge.lottoland.vo,ErrorBody,143,64,32,2,3,15,22,9,5,9
spring-boot-server,com.batyuta.challenge.lottoland.vo,UserVO,23,0,0,0,5,0,3,0,3,0
spring-boot-server,com.batyuta.challenge.lottoland.vo,RoundVO,0,56,0,0,0,11,0,6,0,6
spring-boot-server,com.batyuta.challenge.lottoland.vo,RestResponse,179,71,36,0,4,16,24,9,6,9
spring-boot-server,com.batyuta.challenge.lottoland.vo,LogEntryData,268,103,60,8,5,18,40,9,7,8
spring-boot-server,com.batyuta.challenge.lottoland.vo,StatisticsVO,0,54,0,0,0,11,0,6,0,6
spring-boot-server,com.batyuta.challenge.lottoland.service,AbstractEntityService,58,12,0,0,11,4,7,2,7,2
spring-boot-server,com.batyuta.challenge.lottoland.service,MessageResolverService,0,39,0,2,0,10,0,3,0,2
spring-boot-server,com.batyuta.challenge.lottoland.service,RoundEntityService,14,86,1,1,4,17,3,10,2,10
